Date,Open,High,Low,Close,Volume
2007-05-30,45.52,45.53,45.48,45.53,3118
2007-05-31,45.52,45.53,45.52,45.53,22528
2007-06-01,45.54,45.54,45.54,45.54,2918
2007-06-04,45.55,45.55,45.55,45.55,2111
2007-06-05,45.56,45.57,45.55,45.55,7542
2007-06-06,45.55,45.57,45.55,45.57,19612
2007-06-07,45.55,45.56,45.55,45.56,24438
2007-06-08,45.57,45.57,45.54,45.57,15788
2007-06-11,45.57,45.59,45.57,45.59,4827
2007-06-12,45.59,45.59,45.55,45.55,7844
2007-06-13,45.55,45.59,45.55,45.59,7542
2007-06-14,45.61,45.61,45.6,45.61,26953
2007-06-15,45.63,45.65,45.6,45.65,2111
2007-06-18,45.64,45.67,45.63,45.66,56319
2007-06-19,45.66,45.66,45.66,45.66,1709
2007-06-20,45.65,45.68,45.65,45.67,6235
2007-06-21,45.66,45.68,45.66,45.67,1709
2007-06-22,45.68,45.709,45.68,45.709,4425
2007-06-25,45.68,45.69,45.68,45.69,59738
2007-06-26,45.69,45.699,45.68,45.699,10260
2007-06-27,45.709,45.709,45.69,45.69,16494
2007-06-28,45.709,45.709,45.709,45.709,1809
2007-06-29,45.709,45.729,45.699,45.729,11363
2007-07-02,45.54,45.58,45.53,45.54,26247
2007-07-03,45.51,45.54,45.51,45.54,6035
2007-07-05,45.53,45.54,45.5,45.54,10961
2007-07-06,45.55,45.56,45.55,45.56,7643
2007-07-09,45.53,45.57,45.53,45.57,7944
2007-07-10,45.56,45.58,45.56,45.58,10560
2007-07-11,45.58,45.58,45.54,45.58,18305
2007-07-12,45.59,45.59,45.57,45.59,29566
2007-07-13,45.59,45.6,45.58,45.6,26247
2007-07-16,45.62,45.62,45.59,45.61,32484
2007-07-17,45.63,45.63,45.59,45.63,93530
2007-07-18,45.61,45.62,45.58,45.62,10961
2007-07-19,45.63,45.64,45.6,45.63,27957
2007-07-20,45.66,45.66,45.65,45.65,16091
2007-07-23,45.65,45.66,45.64,45.65,13979
2007-07-24,45.65,45.66,45.64,45.65,18806
2007-07-25,45.66,45.67,45.66,45.66,19712
2007-07-26,45.66,45.68,45.63,45.67,82569
2007-07-27,45.66,45.729,45.54,45.69,309256
2007-07-30,45.68,45.699,45.65,45.65,20718
2007-07-31,45.709,45.709,45.69,45.709,109119
2007-08-01,45.52,45.53,45.48,45.51,37515
2007-08-02,45.48,45.52,45.47,45.52,100068
2007-08-03,45.54,45.55,45.5,45.5,52700
2007-08-06,45.55,45.56,45.53,45.55,44853
2007-08-07,45.56,45.57,45.52,45.56,29265
2007-08-08,45.56,45.57,45.53,45.54,39724
2007-08-09,45.57,45.6,45.56,45.58,207477
2007-08-10,45.61,45.62,45.6,45.61,225481
2007-08-13,45.61,45.63,45.6,45.62,144418
2007-08-14,45.61,45.63,45.6,45.61,262791
2007-08-15,45.63,45.65,45.61,45.62,81261
2007-08-16,45.62,45.729,45.62,45.68,247104
2007-08-17,45.58,45.719,45.57,45.709,170469
2007-08-20,45.69,45.779,45.69,45.749,39724
2007-08-21,45.759,45.759,45.68,45.739,317200
2007-08-22,45.739,45.739,45.67,45.739,60344
2007-08-23,45.719,45.719,45.67,45.709,80957
2007-08-24,45.65,45.699,45.63,45.699,28263
2007-08-27,45.67,45.699,45.64,45.64,72512
2007-08-28,45.65,45.69,45.64,45.69,58836
2007-08-29,45.709,45.719,45.68,45.719,21223
2007-08-30,45.749,45.749,45.69,45.719,63662
2007-08-31,45.67,45.719,45.66,45.719,19410
2007-09-04,45.54,45.56,45.5,45.55,21923
2007-09-05,45.56,45.57,45.53,45.56,43045
2007-09-06,45.57,45.57,45.53,45.56,29165
2007-09-07,45.59,45.6,45.55,45.59,32484
2007-09-10,45.58,45.6,45.54,45.6,70600
2007-09-11,45.55,45.6,45.54,45.55,20718
2007-09-12,45.57,45.62,45.56,45.62,6941
2007-09-13,45.55,45.61,45.55,45.61,50886
2007-09-14,45.6,45.65,45.6,45.64,65672
2007-09-17,45.64,45.66,45.57,45.66,34899
2007-09-18,45.64,45.68,45.58,45.63,468556
2007-09-19,45.66,45.66,45.6,45.65,134262
2007-09-20,45.67,45.67,45.62,45.62,44752
2007-09-21,45.63,45.67,45.62,45.64,47170
2007-09-24,45.69,45.699,45.63,45.68,116361
2007-09-25,45.63,45.69,45.63,45.69,118672
2007-09-26,45.68,45.69,45.64,45.64,42742
