Date,Open,High,Low,Close,Volume
2005-02-25,15.789,15.908,15.745,15.857,88054
2005-02-28,15.935,15.951,15.805,15.865,128470
2005-03-01,15.927,15.961,15.884,15.901,123461
2005-03-02,15.815,15.927,15.745,15.84,137320
2005-03-03,15.901,15.927,15.738,15.832,100283
2005-03-04,16.013,16.201,16.013,16.08,141981
2005-03-07,16.089,16.158,16.003,16.098,175408
2005-03-08,16.132,16.175,16.089,16.141,87587
2005-03-09,16.141,16.158,16.055,16.072,154791
2005-03-10,16.098,16.149,15.969,16.055,79201
2005-03-11,16.106,16.201,16.028,16.064,67089
2005-03-14,16.089,16.124,15.994,16.124,101678
2005-03-15,16.055,16.089,15.951,15.961,73726
2005-03-16,15.978,16.003,15.781,15.84,218734
2005-03-17,15.815,16.055,15.781,15.849,161431
2005-03-18,15.823,15.84,15.738,15.772,66738
2005-03-21,15.626,15.711,15.515,15.549,198936
2005-03-22,15.576,15.711,15.326,15.326,88985
2005-03-23,15.326,15.456,15.292,15.377,120783
2005-03-24,15.456,15.531,15.404,15.437,36572
2005-03-28,15.377,15.413,15.334,15.404,54043
2005-03-29,15.36,15.437,15.334,15.37,183909
2005-03-30,15.377,15.558,15.377,15.541,182047
2005-03-31,15.541,15.626,15.446,15.523,99119
2005-04-01,15.609,15.686,15.377,15.428,314593
2005-04-04,15.394,15.428,15.248,15.37,179835
2005-04-05,15.37,15.428,15.36,15.385,34942
2005-04-06,15.413,15.541,15.413,15.456,66040
2005-04-07,15.498,15.626,15.471,15.498,97604
2005-04-08,15.515,15.633,15.479,15.558,73145
2005-04-11,15.668,15.711,15.626,15.642,24226
2005-04-12,15.582,15.753,15.471,15.668,155027
2005-04-13,15.549,15.633,15.489,15.489,134060
2005-04-14,15.515,15.582,15.421,15.456,266955
2005-04-15,15.36,15.428,15.111,15.12,107155
2005-04-18,15.043,15.188,15.043,15.077,237722
2005-04-19,15.085,15.129,15.043,15.129,198936
2005-04-20,15.033,15.144,14.87,14.879,141631
2005-04-21,15.12,15.308,15.077,15.24,155957
2005-04-22,15.171,15.196,15.0,15.077,92829
2005-04-25,15.144,15.188,15.129,15.154,52645
2005-04-26,15.077,15.111,14.973,14.973,136389
2005-04-27,14.854,14.965,14.846,14.905,161664
2005-04-28,14.861,15.196,14.656,14.664,147105
2005-04-29,14.898,14.905,14.75,14.854,80949
2005-05-02,14.898,14.913,14.802,14.888,64993
2005-05-03,14.939,14.991,14.913,14.939,83393
2005-05-04,15.025,15.308,15.017,15.308,337072
2005-05-05,15.274,15.326,15.163,15.206,49267
2005-05-06,15.18,15.248,15.138,15.144,83393
2005-05-09,15.102,15.18,15.051,15.171,85958
2005-05-10,15.068,15.095,15.025,15.025,102728
2005-05-11,15.009,15.068,14.922,15.06,87821
2005-05-12,14.965,15.025,14.827,14.827,104592
2005-05-13,14.81,14.898,14.682,14.734,146523
2005-05-16,14.724,14.905,14.724,14.905,49035
2005-05-17,14.674,14.87,14.674,14.854,60800
2005-05-18,14.898,15.154,14.879,15.077,153510
2005-05-19,15.068,15.232,15.068,15.171,179485
2005-05-20,15.196,15.196,15.033,15.138,360599
2005-05-23,15.232,15.36,15.163,15.343,525175
2005-05-24,15.282,15.282,15.196,15.196,285127
2005-05-25,15.326,15.326,15.196,15.308,436657
2005-05-26,15.282,15.326,15.248,15.318,443761
2005-05-27,15.326,15.446,15.318,15.446,422446
2005-05-31,15.196,15.24,15.154,15.171,673445
2005-06-01,15.111,15.301,15.068,15.196,532747
2005-06-02,15.196,15.377,15.196,15.377,225607
2005-06-03,15.301,15.301,15.095,15.154,354893
2005-06-06,15.215,15.282,15.171,15.24,427223
2005-06-07,15.274,15.413,15.266,15.377,353379
2005-06-08,15.428,15.446,15.222,15.274,319368
2005-06-09,15.292,15.404,15.215,15.308,290366
2005-06-10,15.37,15.446,15.232,15.292,367937
2005-06-13,15.24,15.334,15.18,15.326,630234
2005-06-14,15.274,15.292,15.206,15.248,132780
2005-06-15,15.24,15.352,15.111,15.163,93644
2005-06-16,15.206,15.334,15.188,15.326,201963
2005-06-17,15.446,15.668,15.446,15.668,268121
2005-06-20,15.421,15.498,15.326,15.428,759870
2005-06-21,15.437,15.479,15.37,15.471,402647
2005-06-22,15.464,15.471,15.377,15.377,193228
2005-06-23,15.326,15.413,15.196,15.196,223860
2005-06-24,15.196,15.248,15.12,15.154,78735
2005-06-27,15.171,15.215,15.111,15.12,192181
2005-06-28,15.111,15.282,15.111,15.282,575376
2005-06-29,15.232,15.318,15.129,15.196,169467
2005-06-30,15.301,15.343,15.215,15.232,199634
2005-07-01,15.266,15.308,15.144,15.163,513411
2005-07-05,15.077,15.171,14.991,15.0,713629
2005-07-06,15.102,15.196,15.033,15.12,233180
2005-07-07,15.017,15.043,14.836,15.043,756606
2005-07-08,14.957,15.301,14.905,15.301,445741
2005-07-11,15.36,15.541,15.36,15.541,207203
2005-07-12,15.626,15.772,15.601,15.711,149783
2005-07-13,15.626,15.626,15.541,15.582,256823
2005-07-14,15.694,15.702,15.601,15.633,311333
2005-07-15,15.633,15.686,15.582,15.66,43560
2005-07-18,15.702,15.72,15.601,15.678,153744
2005-07-19,15.686,15.875,15.633,15.805,159684
2005-07-20,15.849,16.098,15.772,16.089,209650
2005-07-21,16.218,16.269,16.064,16.218,186124
2005-07-22,16.115,16.184,16.028,16.098,119849
2005-07-25,16.013,16.089,15.986,16.055,91548
2005-07-26,16.028,16.08,15.935,16.046,104126
2005-07-27,16.072,16.226,16.038,16.201,145358
2005-07-28,16.305,16.424,16.261,16.4,423728
2005-07-29,16.424,16.424,16.261,16.261,417556
2005-08-01,16.502,16.562,16.363,16.511,233061
2005-08-02,16.527,16.614,16.485,16.579,195905
2005-08-03,16.647,16.776,16.614,16.725,142329
2005-08-04,16.587,16.708,16.527,16.527,212446
2005-08-05,16.536,16.545,16.363,16.45,194976
2005-08-08,16.57,16.57,16.407,16.407,197889
2005-08-09,16.527,16.811,16.527,16.785,177971
2005-08-10,16.949,17.163,16.845,16.922,368520
2005-08-11,16.949,17.068,16.931,17.017,276740
2005-08-12,16.94,17.043,16.854,16.888,123579
2005-08-15,16.854,16.906,16.769,16.888,233878
2005-08-16,16.828,16.828,16.553,16.57,240167
2005-08-17,16.527,16.57,16.442,16.527,1764911
2005-08-18,16.321,16.415,16.218,16.269,345457
2005-08-19,16.442,16.545,16.424,16.502,128587
2005-08-22,16.673,16.717,16.57,16.621,299686
2005-08-23,16.673,16.673,16.475,16.587,1035910
2005-08-24,16.485,16.69,16.485,16.57,573394
2005-08-25,16.511,16.57,16.433,16.459,258686
2005-08-26,16.527,16.527,16.226,16.244,388088
2005-08-29,16.278,16.373,16.141,16.347,316458
2005-08-30,16.218,16.236,16.115,16.192,343595
2005-08-31,16.305,16.57,16.236,16.57,245874
2005-09-01,16.638,16.742,16.596,16.647,246222
2005-09-02,16.75,16.828,16.717,16.717,1381017
2005-09-06,17.077,17.163,16.991,17.163,2390836
2005-09-07,17.111,17.154,17.033,17.111,350234
2005-09-08,17.129,17.129,17.017,17.033,248435
2005-09-09,17.163,17.231,17.085,17.196,1068754
2005-09-12,16.991,17.0,16.871,16.888,660865
2005-09-13,16.717,16.717,16.57,16.605,4004917
2005-09-14,16.699,16.699,16.579,16.614,604261
2005-09-15,16.57,16.579,16.494,16.527,435375
2005-09-16,16.793,16.982,16.708,16.94,1265593
2005-09-19,16.485,16.57,16.433,16.502,3972771
2005-09-20,16.596,16.742,16.407,16.475,517605
2005-09-21,16.45,16.511,16.321,16.321,772915
2005-09-22,16.311,16.355,16.201,16.296,1076675
2005-09-23,16.269,16.311,16.167,16.261,354426
2005-09-26,16.527,16.605,16.475,16.545,549750
2005-09-27,16.511,16.527,16.382,16.485,1881501
2005-09-28,16.666,16.725,16.596,16.725,3191587
2005-09-29,16.666,16.811,16.562,16.811,709319
2005-09-30,16.732,16.821,16.657,16.69,393328
2005-10-03,16.681,16.69,16.605,16.666,304461
2005-10-04,16.769,16.914,16.699,16.717,323094
2005-10-05,16.863,16.863,16.485,16.518,1061068
2005-10-06,16.657,16.75,16.562,16.681,1166358
2005-10-07,16.708,16.776,16.63,16.69,213610
