Date,Open,High,Low,Close,Volume
2005-02-25,21.585,21.864,21.499,21.864,646096
2005-02-28,22.093,22.18,21.622,21.743,775006
2005-03-01,22.005,22.161,21.969,22.093,627043
2005-03-02,22.057,22.057,21.688,21.708,556494
2005-03-03,21.829,21.864,21.514,21.549,368249
2005-03-04,21.672,21.723,21.444,21.479,868499
2005-03-07,21.635,21.829,21.549,21.776,506658
2005-03-08,21.622,21.635,21.411,21.499,248780
2005-03-09,21.655,21.708,21.391,21.428,519646
2005-03-10,21.622,21.622,21.2,21.323,478278
2005-03-11,21.444,21.585,21.149,21.391,310118
2005-03-14,21.077,21.27,20.973,21.077,242944
2005-03-15,20.764,20.938,20.447,20.5,806361
2005-03-16,20.764,20.799,20.467,20.57,404526
2005-03-17,20.395,20.676,20.395,20.621,203350
2005-03-18,20.764,20.764,20.555,20.692,520448
2005-03-21,20.621,20.621,20.361,20.447,297987
2005-03-22,20.5,20.5,19.924,20.082,369567
2005-03-23,20.186,20.307,20.1,20.1,697821
2005-03-24,19.908,20.273,19.908,20.15,200776
2005-03-28,20.361,20.361,20.1,20.221,248265
2005-03-29,19.836,19.924,19.523,19.662,764364
2005-03-30,19.977,19.994,19.68,19.924,555064
2005-03-31,20.447,20.447,20.047,20.24,111459
2005-04-01,20.621,20.658,20.307,20.379,1024702
2005-04-04,20.361,20.361,19.924,20.1,246950
2005-04-05,19.889,20.344,19.889,20.15,171995
2005-04-06,20.273,20.344,20.186,20.307,190533
2005-04-07,20.24,20.24,19.941,20.1,330372
2005-04-08,20.361,20.361,20.133,20.133,113519
2005-04-11,20.326,20.326,19.994,20.01,265202
2005-04-12,20.062,20.344,19.959,20.326,214907
2005-04-13,20.273,20.273,20.062,20.15,469410
2005-04-14,20.047,20.1,19.556,19.715,682200
2005-04-15,19.418,19.662,19.418,19.539,640775
2005-04-18,19.226,19.383,19.066,19.312,421347
2005-04-19,19.4,19.662,19.4,19.539,713383
2005-04-20,19.4,19.435,19.05,19.05,267318
2005-04-21,19.4,19.574,19.33,19.539,310861
2005-04-22,19.4,19.556,19.312,19.47,243573
2005-04-25,19.697,19.697,19.539,19.627,392452
2005-04-26,19.803,19.889,19.662,19.715,427126
2005-04-27,19.347,19.697,19.347,19.504,1708104
2005-04-28,19.924,19.924,19.662,19.715,286830
2005-04-29,20.062,20.062,19.715,19.871,451272
2005-05-02,20.01,20.17,19.994,20.062,253015
2005-05-03,20.082,20.082,19.871,20.029,433134
2005-05-04,20.1,20.361,19.941,20.326,427184
2005-05-05,20.606,20.973,19.924,20.832,1024187
2005-05-06,20.832,20.885,20.711,20.832,300448
2005-05-09,20.764,20.78,20.588,20.692,314752
2005-05-10,20.485,20.555,20.361,20.432,127251
2005-05-11,20.432,20.799,20.24,20.621,180692
2005-05-12,20.621,20.621,20.15,20.203,194480
2005-05-13,20.361,20.799,20.361,20.621,721622
2005-05-16,20.414,20.621,20.361,20.535,342502
2005-05-17,20.447,20.518,20.24,20.518,70206
2005-05-18,20.467,20.711,20.361,20.57,216796
2005-05-19,20.867,20.867,20.658,20.815,254960
2005-05-20,20.535,20.729,20.535,20.676,345020
2005-05-23,20.293,20.588,20.293,20.414,93607
2005-05-24,20.5,20.5,20.326,20.447,113290
2005-05-25,20.361,20.447,20.293,20.379,179090
2005-05-26,20.711,20.711,20.535,20.641,743079
2005-05-27,20.832,20.852,20.658,20.799,211303
2005-05-31,20.885,20.903,20.658,20.711,652505
2005-06-01,20.57,20.746,20.485,20.606,76614
2005-06-02,20.799,20.799,20.621,20.711,783131
2005-06-03,21.149,21.184,20.711,20.799,388676
2005-06-06,21.129,21.237,20.973,21.217,1074825
2005-06-07,20.92,21.323,20.832,21.129,590138
2005-06-08,21.411,21.411,21.149,21.164,258965
2005-06-09,21.149,21.288,21.077,21.27,321274
2005-06-10,21.323,21.411,20.867,20.991,534694
2005-06-13,21.164,21.461,20.293,21.305,726315
2005-06-14,21.479,21.479,21.129,21.149,656166
2005-06-15,21.499,21.549,21.149,21.358,628072
2005-06-16,21.585,21.655,21.374,21.532,483313
2005-06-17,21.846,21.846,21.602,21.776,805045
2005-06-20,21.672,21.708,21.532,21.567,490064
2005-06-21,21.635,22.72,21.444,21.499,220343
2005-06-22,21.846,21.917,21.723,21.899,623438
2005-06-23,21.969,22.005,21.688,21.708,500249
