Date,Open,High,Low,Close,Volume
2007-01-11,107.58,107.58,107.58,107.58,906
2007-01-12,107.64,107.64,107.64,107.64,1108
2007-01-16,107.64,107.64,107.62,107.62,500
2007-01-17,107.68,107.68,107.68,107.68,8282
2007-01-18,107.68,107.68,107.64,107.67,23328
2007-01-19,107.67,107.69,107.65,107.65,13533
2007-01-22,107.7,107.71,107.68,107.69,3027
2007-01-23,107.69,107.71,107.69,107.7,2321
2007-01-24,107.75,107.77,107.75,107.76,4337
2007-01-25,107.77,107.78,107.74,107.76,31612
2007-01-26,107.81,107.81,107.75,107.75,95744
2007-01-29,107.85,107.85,107.83,107.83,20097
2007-01-30,107.82,107.85,107.81,107.83,5551
2007-01-31,107.85,107.88,107.84,107.88,2523
2007-02-01,107.61,107.61,107.56,107.57,11510
2007-02-02,107.6,107.63,107.59,107.6,35756
2007-02-05,107.65,107.65,107.6,107.63,8786
2007-02-06,107.64,107.64,107.61,107.62,10504
2007-02-07,107.7,107.7,107.63,107.68,8584
2007-02-08,107.69,107.69,107.67,107.67,4539
2007-02-09,107.71,107.72,107.62,107.7,25651
2007-02-12,107.7,107.7,107.69,107.7,8584
2007-02-13,107.68,107.71,107.68,107.7,1512
2007-02-14,107.76,107.78,107.76,107.77,24844
2007-02-15,107.78,107.82,107.74,107.78,32524
2007-02-16,107.81,107.82,107.77,107.8,25448
2007-02-20,107.79,107.82,107.79,107.81,15147
2007-02-21,107.81,107.87,107.75,107.85,75043
2007-02-22,107.84,107.85,107.84,107.85,3228
2007-02-23,107.85,107.91,107.85,107.9,8786
2007-02-26,107.93,107.93,107.89,107.91,270770
2007-02-27,107.94,107.94,107.9,107.93,16766
2007-02-28,107.94,108.03,107.94,108.0,299554
2007-03-01,107.75,107.76,107.68,107.74,32828
2007-03-02,107.79,107.83,107.75,107.8,25045
2007-03-05,107.8,107.8,107.76,107.78,31510
2007-03-06,107.79,107.83,107.75,107.79,11109
2007-03-07,107.83,107.83,107.81,107.83,17773
2007-03-08,107.85,107.85,107.82,107.84,18276
2007-03-09,107.83,107.86,107.79,107.83,53427
2007-03-12,107.86,107.86,107.82,107.86,10909
2007-03-13,107.88,107.93,107.86,107.93,128065
2007-03-14,107.95,107.95,107.91,107.94,22621
2007-03-15,107.94,107.94,107.9,107.93,16766
2007-03-16,107.95,107.95,107.92,107.95,14642
2007-03-19,107.96,107.97,107.78,107.95,109684
2007-03-20,107.99,107.99,107.96,107.98,4136
2007-03-21,108.03,108.08,107.99,108.05,141904
2007-03-22,108.05,108.06,108.01,108.02,28680
2007-03-23,108.05,108.08,108.03,108.06,578108
2007-03-26,108.04,108.08,108.03,108.07,10706
2007-03-27,108.05,108.12,108.05,108.1,398532
2007-03-28,108.1,108.16,108.1,108.13,20300
2007-03-29,108.15,108.17,108.14,108.16,23028
2007-03-30,108.18,108.18,108.11,108.16,204619
