Date,Open,High,Low,Close,Volume
2005-02-25,39.719,40.308,39.719,40.272,39871
2005-02-28,40.301,40.401,39.749,40.156,72024
2005-03-01,40.079,40.577,40.079,40.577,45622
2005-03-02,40.308,40.499,40.207,40.308,20521
2005-03-03,40.308,40.569,40.224,40.522,12941
2005-03-04,40.744,41.29,40.637,41.29,31634
2005-03-07,41.394,41.8,41.158,41.48,55948
2005-03-08,41.546,41.546,41.09,41.249,21178
2005-03-09,41.249,41.249,40.048,40.079,79346
2005-03-10,39.963,40.491,39.963,40.355,76469
2005-03-11,40.272,40.285,39.896,39.903,27714
2005-03-14,40.071,40.455,40.003,40.455,52551
2005-03-15,40.852,41.051,40.347,40.409,67319
2005-03-16,40.392,40.416,39.912,39.926,53333
2005-03-17,40.224,40.468,40.207,40.347,27583
2005-03-18,40.347,40.383,39.963,40.2,29671
2005-03-21,40.117,40.117,39.719,39.933,35424
2005-03-22,40.239,40.239,39.216,39.216,23662
2005-03-23,38.878,39.39,38.764,39.145,32679
2005-03-24,39.024,39.376,38.869,38.916,29541
2005-03-28,38.941,38.941,38.657,38.724,36209
2005-03-29,38.771,39.069,38.641,38.741,30720
2005-03-30,38.764,39.251,38.764,39.251,31505
2005-03-31,39.298,39.565,39.069,39.16,86924
2005-04-01,39.743,39.743,38.878,39.184,32422
2005-04-04,39.095,39.095,38.634,39.009,35685
2005-04-05,39.069,39.145,38.84,38.916,29281
2005-04-06,39.077,39.323,39.046,39.121,26536
2005-04-07,39.298,39.581,39.225,39.476,37257
2005-04-08,39.536,39.557,39.298,39.298,52680
2005-04-11,39.337,39.352,39.184,39.337,28499
2005-04-12,39.298,39.879,39.16,39.864,57909
2005-04-13,39.955,40.086,39.827,39.912,41834
2005-04-14,39.912,40.003,39.528,39.528,32158
2005-04-15,39.634,39.872,39.467,39.827,36342
2005-04-18,39.827,39.842,39.383,39.765,41701
2005-04-19,39.804,39.971,39.804,39.963,31505
2005-04-20,39.933,40.003,39.727,39.864,52288
2005-04-21,39.947,40.018,39.773,39.856,14248
2005-04-22,39.896,40.163,39.896,40.163,163006
2005-04-25,40.355,40.606,40.186,40.606,25881
2005-04-26,40.73,40.805,40.584,40.661,58956
2005-04-27,40.706,41.051,40.538,40.974,59738
2005-04-28,40.967,40.967,40.776,40.875,25621
2005-04-29,40.967,41.418,40.767,41.418,18038
2005-05-02,41.563,41.563,40.935,41.388,36077
2005-05-03,41.265,41.447,41.158,41.447,116339
2005-05-04,41.489,41.639,41.158,41.489,36077
2005-05-05,41.639,42.015,41.639,42.015,28629
2005-05-06,41.846,41.878,41.317,41.489,164312
2005-05-09,41.602,42.206,41.546,42.206,88756
2005-05-10,42.137,42.206,41.939,42.206,39738
2005-05-11,42.166,42.321,41.806,42.23,79735
2005-05-12,42.398,42.398,41.779,41.806,43662
2005-05-13,42.09,42.09,41.432,41.792,40783
2005-05-16,41.792,41.998,41.709,41.982,28234
2005-05-17,42.053,42.389,41.884,42.358,25358
2005-05-18,42.513,42.772,42.513,42.772,53853
2005-05-19,42.924,43.347,42.924,43.338,35424
2005-05-20,43.176,43.507,43.078,43.429,106402
2005-05-23,43.338,43.652,43.338,43.53,74379
2005-05-24,43.262,43.277,42.789,42.924,62612
2005-05-25,42.811,42.811,42.398,42.398,68235
2005-05-26,42.398,42.811,42.206,42.214,62744
2005-05-27,42.488,42.513,42.259,42.436,36602
2005-05-31,42.62,43.022,42.62,42.88,60523
2005-06-01,42.924,43.37,42.789,43.37,42482
2005-06-02,43.3,43.347,43.115,43.216,41176
2005-06-03,43.153,43.598,43.115,43.222,31242
2005-06-06,43.262,43.559,43.262,43.551,53333
2005-06-07,43.681,44.197,43.629,43.92,76731
2005-06-08,43.904,44.402,43.904,44.102,37644
2005-06-09,44.056,44.164,43.827,44.149,36602
2005-06-10,44.149,44.21,43.949,44.056,31373
2005-06-13,44.12,44.287,43.971,44.262,33723
2005-06-14,44.361,44.622,44.348,44.622,31242
2005-06-15,44.814,44.814,44.492,44.723,20914
2005-06-16,44.492,44.769,44.44,44.769,37516
2005-06-17,45.075,45.341,44.983,45.275,24966
2005-06-20,45.304,45.412,45.12,45.235,92155
2005-06-21,45.304,45.304,44.737,44.853,34768
2005-06-22,45.112,45.112,44.654,44.784,21961
2005-06-23,44.853,44.983,44.622,44.622,32029
2005-06-24,44.737,44.861,44.256,44.53,39213
2005-06-27,43.904,44.085,43.896,43.988,27057
2005-06-28,44.056,44.21,43.92,44.21,18559
2005-06-29,44.326,44.515,44.262,44.354,93985
2005-06-30,44.21,44.432,43.971,44.361,51765
2005-07-01,44.369,44.737,44.348,44.737,36077
2005-07-05,44.808,45.341,44.761,45.304,55423
2005-07-06,45.341,45.448,45.136,45.189,26273
2005-07-07,44.959,45.304,44.67,45.235,28367
2005-07-08,45.235,46.139,45.205,46.007,97646
2005-07-11,46.077,46.673,46.063,46.566,41438
2005-07-12,46.667,46.764,46.412,46.557,38298
2005-07-13,46.626,46.626,46.245,46.289,102221
2005-07-14,46.254,46.353,45.419,45.519,105618
2005-07-15,45.304,45.747,45.243,45.702,172156
2005-07-18,45.754,46.015,45.535,45.824,30720
2005-07-19,46.0,46.245,45.94,46.176,55553
2005-07-20,46.176,46.62,45.969,46.58,30720
2005-07-21,46.475,46.553,45.717,45.924,91762
2005-07-22,46.098,46.289,45.878,46.289,22485
2005-07-25,46.36,46.537,46.214,46.289,30848
2005-07-26,46.545,46.849,46.529,46.804,25491
2005-07-27,46.925,47.041,46.588,46.925,55684
2005-07-28,47.157,47.658,47.016,47.584,59474
2005-07-29,47.606,47.682,47.462,47.53,93985
2005-08-01,47.682,47.682,47.316,47.5,46534
2005-08-02,47.56,47.923,47.515,47.836,23007
2005-08-03,47.758,47.95,47.462,47.723,33333
2005-08-04,47.599,47.599,46.866,46.917,60130
2005-08-05,46.686,46.686,44.983,45.288,167708
2005-08-08,44.637,44.828,43.391,43.658,202610
2005-08-09,44.369,44.423,43.489,43.859,108627
2005-08-10,44.21,44.967,44.102,44.287,78563
2005-08-11,44.224,44.877,44.224,44.877,37257
2005-08-12,44.745,44.976,44.463,44.837,32289
2005-08-15,44.892,45.563,44.737,45.258,17777
2005-08-16,45.258,45.679,45.258,45.527,100784
2005-08-17,45.503,45.511,44.928,45.157,66272
2005-08-18,45.005,45.005,44.7,44.861,39476
2005-08-19,44.912,44.912,44.601,44.7,37257
2005-08-22,44.571,44.937,44.571,44.837,74509
2005-08-23,45.028,45.128,44.828,45.028,149408
2005-08-24,45.25,45.569,45.083,45.182,91896
2005-08-25,45.182,45.495,44.983,45.235,37910
2005-08-26,45.258,45.448,44.677,44.677,50849
2005-08-29,44.61,44.883,44.317,44.684,46140
2005-08-30,44.684,44.853,44.423,44.82,55948
2005-08-31,44.753,45.803,44.753,45.602,77382
2005-09-01,45.778,46.545,45.671,46.007,73070
2005-09-02,46.054,46.282,45.702,45.885,75687
2005-09-06,45.833,46.909,45.833,46.874,53460
2005-09-07,46.917,46.917,46.398,46.771,46010
2005-09-08,46.62,46.667,46.297,46.467,19219
2005-09-09,46.588,46.728,46.52,46.704,50197
2005-09-12,46.588,46.673,46.481,46.557,25098
2005-09-13,46.461,46.495,46.131,46.207,44706
2005-09-14,46.276,46.313,45.954,46.168,26273
2005-09-15,46.168,46.353,46.123,46.183,13991
2005-09-16,46.313,46.405,46.007,46.289,18559
2005-09-19,46.36,46.36,45.817,45.924,31894
2005-09-20,45.833,46.198,45.465,45.569,30981
